agegp,yearc,st,N_cases
Age 2-4,1999,4,13
Age 2-4,1999,5,1
Age 2-4,1999,6A,19
Age 2-4,1999,6B,18
Age 2-4,1999,7F,2
Age 2-4,1999,9A,1
Age 2-4,1999,9V,11
Age 2-4,1999,MISS,41
Age 5-17,1999,1,11
Age 5-17,1999,11A,1
Age 5-17,1999,12F,9
Age 5-17,1999,14,25
Age 5-17,1999,15B,1
Age 5-17,1999,15C,1
Age 5-17,1999,18B,1
Age 5-17,1999,18C,15
Age 5-17,1999,19A,7
Age 5-17,1999,19F,7
Age 5-17,1999,22F,3
Age 5-17,1999,23F,6
Age 5-17,1999,3,2
Age 5-17,1999,33A,1
Age 5-17,1999,35B,1
Age 5-17,1999,35F,1
Age 5-17,1999,4,9
Age 5-17,1999,6A,4
Age 5-17,1999,6B,2
Age 5-17,1999,7F,5
Age 5-17,1999,8,2
Age 5-17,1999,9A,1
Age 5-17,1999,9V,7
Age 5-17,1999,MISS,22
Age 5-17,1999,NT,1
Age 18-49,1999,1,23
Age 18-49,1999,10A,8
Age 18-49,1999,11A,20
Age 18-49,1999,11B,1
Age 18-49,1999,12F,84
Age 18-49,1999,13,7
Age 18-49,1999,14,146
Age 18-49,1999,15A,3
Age 18-49,1999,15B,5
Age 18-49,1999,15C,2
Age 18-49,1999,16,13
Age 18-49,1999,16F,8
Age 18-49,1999,17F,1
Age 18-49,1999,18A,1
Age 18-49,1999,18B,2
Age 18-49,1999,18C,39
Age 18-49,1999,18F,1
Age 18-49,1999,19A,27
Age 18-49,1999,19F,46
Age 18-49,1999,20,9
Age 18-49,1999,22F,36
Age 18-49,1999,23A,3
Age 18-49,1999,23F,84
Age 18-49,1999,24F,2
Age 18-49,1999,3,45
Age 18-49,1999,31,4
Age 18-49,1999,33A,1
Age 18-49,1999,33F,5
Age 18-49,1999,34,2
Age 18-49,1999,35B,4
Age 18-49,1999,35F,9
Age 18-49,1999,38,3
Age 18-49,1999,4,185
Age 18-49,1999,5,2
Age 18-49,1999,6A,34
Age 18-49,1999,6B,42
Age 18-49,1999,6C,2
Age 18-49,1999,7C,3
Age 18-49,1999,7F,33
Age 18-49,1999,8,12
Age 18-49,1999,9A,8
Age 18-49,1999,9N,27
Age 18-49,1999,9V,103
Age 18-49,1999,MISS,128
Age 18-49,1999,NT,6
Age 50-64,1999,1,11
Age 50-64,1999,10A,4
Age 50-64,1999,11A,11
Age 50-64,1999,12F,34
Age 50-64,1999,13,1
Age 50-64,1999,14,86
Age 50-64,1999,15A,2
Age 50-64,1999,15B,10
Age 50-64,1999,15C,1
Age 50-64,1999,16,9
Age 50-64,1999,16F,4
Age 50-64,1999,17F,1
Age 50-64,1999,18C,12
Age 50-64,1999,19A,15
Age 50-64,1999,19F,26
Age 50-64,1999,20,4
Age 50-64,1999,22F,20
Age 50-64,1999,23A,5
Age 50-64,1999,23F,29
Age 50-64,1999,3,36
Age 50-64,1999,31,1
Age 50-64,1999,33F,12
Age 50-64,1999,34,3
Age 50-64,1999,35B,4
Age 50-64,1999,35F,1
Age 50-64,1999,37,1
Age 50-64,1999,38,3
Age 50-64,1999,4,72
Age 50-64,1999,5,3
Age 50-64,1999,6A,24
Age 50-64,1999,6B,30
Age 50-64,1999,6C,3
Age 50-64,1999,7C,1
Age 50-64,1999,7F,21
Age 50-64,1999,8,6
Age 50-64,1999,9A,6
Age 50-64,1999,9N,5
Age 50-64,1999,9V,57
Age 50-64,1999,MISS,64
Age 65+,1999,1,8
Age 65+,1999,10A,3
Age 65+,1999,11A,26
Age 65+,1999,12A,1
Age 65+,1999,12F,36
Age 65+,1999,13,3
Age 65+,1999,14,181
Age 65+,1999,15A,3
Age 65+,1999,15B,7
Age 65+,1999,15C,1
Age 65+,1999,16,15
Age 65+,1999,16F,15
Age 65+,1999,17F,2
Age 65+,1999,18A,1
Age 65+,1999,18C,35
Age 65+,1999,18F,2
Age 65+,1999,19A,40
Age 65+,1999,19F,46
Age 65+,1999,20,6
Age 65+,1999,22F,40
Age 65+,1999,23A,9
Age 65+,1999,23B,3
Age 65+,1999,23F,114
Age 65+,1999,24F,1
Age 65+,1999,28A,1
Age 65+,1999,3,74
Age 65+,1999,31,10
Age 65+,1999,33F,9
Age 65+,1999,34,3
Age 65+,1999,35B,9
Age 65+,1999,35F,10
Age 65+,1999,36,1
Age 65+,1999,38,13
Age 65+,1999,4,91
Age 65+,1999,5,1
Age 65+,1999,6A,69
Age 65+,1999,6B,80
Age 65+,1999,6C,20
Age 65+,1999,7A,1
Age 65+,1999,7B,1
Age 65+,1999,7C,2
Age 65+,1999,7F,20
Age 65+,1999,8,6
Age 65+,1999,9A,8
Age 65+,1999,9L,2
Age 65+,1999,9N,15
Age 65+,1999,9V,94
Age 65+,1999,MISS,169
Age 65+,1999,NT,3
Age <2,2000,1,4
Age <2,2000,10A,3
Age <2,2000,11A,1
Age <2,2000,12A,1
Age <2,2000,12F,7
Age <2,2000,14,246
Age <2,2000,15B,2
Age <2,2000,15C,3
Age <2,2000,16F,3
Age <2,2000,17F,1
Age <2,2000,18A,1
Age <2,2000,18B,6
Age <2,2000,18C,50
Age <2,2000,18F,2
Age <2,2000,19A,20
Age <2,2000,19F,61
Age <2,2000,22F,5
Age <2,2000,23A,1
Age <2,2000,23B,4
Age <2,2000,23F,46
Age <2,2000,3,8
Age <2,2000,31,1
Age <2,2000,33F,7
Age <2,2000,35B,2
Age <2,2000,38,9
Age <2,2000,4,43
Age <2,2000,5,1
Age <2,2000,6A,33
Age <2,2000,6B,93
Age <2,2000,6C,2
Age <2,2000,7F,1
Age <2,2000,8,3
Age <2,2000,9A,2
Age <2,2000,9L,1
Age <2,2000,9N,1
Age <2,2000,9V,35
Age <2,2000,MISS,113
Age <2,2000,NT,1
Age 2-4,2000,1,4
Age 2-4,2000,10A,1
Age 2-4,2000,14,56
Age 2-4,2000,15B,2
Age 2-4,2000,15C,1
Age 2-4,2000,18C,26
Age 2-4,2000,18F,1
Age 2-4,2000,19A,4
Age 2-4,2000,19F,18
Age 2-4,2000,22F,2
Age 2-4,2000,23A,1
Age 2-4,2000,23B,2
Age 2-4,2000,23F,17
Age 2-4,2000,3,3
Age 2-4,2000,33F,2
Age 2-4,2000,35B,1
Age 2-4,2000,4,19
Age 2-4,2000,6A,12
Age 2-4,2000,6B,20
Age 2-4,2000,7F,2
Age 2-4,2000,9A,1
Age 2-4,2000,9L,1
Age 2-4,2000,9N,2
Age 2-4,2000,9V,5
Age 2-4,2000,MISS,38
Age 2-4,2000,NT,1
Age 5-17,2000,1,10
Age 5-17,2000,10A,1
Age 5-17,2000,11A,2
Age 5-17,2000,12F,3
Age 5-17,2000,14,22
Age 5-17,2000,15B,1
Age 5-17,2000,15C,1
Age 5-17,2000,17F,1
Age 5-17,2000,18C,18
Age 5-17,2000,19A,3
Age 5-17,2000,19F,6
Age 5-17,2000,21,1
Age 5-17,2000,22F,1
Age 5-17,2000,23F,11
Age 5-17,2000,3,3
Age 5-17,2000,33F,2
Age 5-17,2000,35B,2
Age 5-17,2000,4,10
Age 5-17,2000,6A,6
Age 5-17,2000,6B,2
Age 5-17,2000,6C,1
Age 5-17,2000,7A,1
Age 5-17,2000,7F,2
Age 5-17,2000,8,2
Age 5-17,2000,9V,10
Age 5-17,2000,MISS,14
Age 18-49,2000,1,19
Age 18-49,2000,10A,6
Age 18-49,2000,11A,18
Age 18-49,2000,12A,1
Age 18-49,2000,12F,77
Age 18-49,2000,13,7
Age 18-49,2000,14,125
Age 18-49,2000,15A,5
Age 18-49,2000,15B,6
Age 18-49,2000,15C,5
Age 18-49,2000,15F,1
Age 18-49,2000,16,4
Age 18-49,2000,16F,7
Age 18-49,2000,17F,2
Age 18-49,2000,18B,1
Age 18-49,2000,18C,35
Age 18-49,2000,18F,1
Age 18-49,2000,19A,28
Age 18-49,2000,19F,38
Age 18-49,2000,20,5
Age 18-49,2000,21,1
Age 18-49,2000,22F,20
Age 18-49,2000,23A,2
Age 18-49,2000,23F,63
Age 18-49,2000,3,44
Age 18-49,2000,31,5
Age 18-49,2000,33F,7
Age 18-49,2000,34,1
Age 18-49,2000,35B,6
Age 18-49,2000,35F,9
Age 18-49,2000,38,10
Age 18-49,2000,4,154
Age 18-49,2000,5,4
Age 18-49,2000,6A,45
Age 18-49,2000,6B,59
Age 18-49,2000,6C,6
Age 18-49,2000,7B,1
Age 18-49,2000,7C,1
Age 18-49,2000,7F,36
Age 18-49,2000,8,15
Age 18-49,2000,9A,4
Age 18-49,2000,9L,1
Age 18-49,2000,9N,21
Age 18-49,2000,9V,98
Age 18-49,2000,MISS,115
Age 18-49,2000,NT,1
Age 50-64,2000,1,4
Age 50-64,2000,10A,4
Age 50-64,2000,11A,16
Age 50-64,2000,12F,30
Age 50-64,2000,13,2
Age 50-64,2000,14,87
Age 50-64,2000,15A,2
Age 50-64,2000,15B,1
Age 50-64,2000,15C,3
Age 50-64,2000,16F,8
Age 50-64,2000,18B,1
Age 50-64,2000,18C,21
Age 50-64,2000,19A,19
Age 50-64,2000,19F,29
Age 50-64,2000,20,2
Age 50-64,2000,22F,29
Age 50-64,2000,23A,2
Age 50-64,2000,23B,2
Age 50-64,2000,23F,46
Age 50-64,2000,29,1
Age 50-64,2000,3,40
Age 50-64,2000,31,3
Age 50-64,2000,33F,4
Age 50-64,2000,34,2
Age 50-64,2000,35B,2
Age 50-64,2000,38,2
Age 50-64,2000,4,72
Age 50-64,2000,5,5
Age 50-64,2000,6A,30
Age 50-64,2000,6B,43
Age 50-64,2000,6C,4
Age 50-64,2000,7F,13
Age 50-64,2000,8,11
Age 50-64,2000,9A,4
Age 50-64,2000,9N,11
Age 50-64,2000,9V,43
Age 50-64,2000,MISS,78
Age 65+,2000,1,9
Age 65+,2000,10A,6
Age 65+,2000,11A,22
Age 65+,2000,11C,1
Age 65+,2000,12B,1
Age 65+,2000,12F,32
Age 65+,2000,13,2
Age 65+,2000,14,178
Age 65+,2000,15A,2
Age 65+,2000,15B,7
Age 65+,2000,15C,4
Age 65+,2000,16F,21
Age 65+,2000,17F,3
Age 65+,2000,18A,1
Age 65+,2000,18B,1
Age 65+,2000,18C,21
Age 65+,2000,18F,2
Age 65+,2000,19A,24
Age 65+,2000,19F,45
Age 65+,2000,20,2
Age 65+,2000,22A,1
Age 65+,2000,22F,62
Age 65+,2000,23A,11
Age 65+,2000,23B,5
Age 65+,2000,23F,100
Age 65+,2000,28F,1
Age 65+,2000,29,1
Age 65+,2000,3,92
Age 65+,2000,31,9
Age 65+,2000,33F,11
Age 65+,2000,34,1
Age 65+,2000,35B,11
Age 65+,2000,35F,4
Age 65+,2000,36,2
Age 65+,2000,38,19
Age 65+,2000,4,99
Age 65+,2000,6A,58
Age 65+,2000,6B,85
Age 65+,2000,6C,15
Age 65+,2000,7F,28
Age 65+,2000,8,13
Age 65+,2000,9A,5
Age 65+,2000,9N,19
Age 65+,2000,9V,93
Age 65+,2000,MISS,133
Age 65+,2000,NT,4
Age <2,2001,1,3
Age <2,2001,10A,2
Age <2,2001,11A,3
Age <2,2001,12F,11
Age <2,2001,14,58
Age <2,2001,15B,5
Age <2,2001,15C,12
Age <2,2001,17F,1
Age <2,2001,18B,1
Age <2,2001,18C,19
Age <2,2001,19A,24
Age <2,2001,19F,21
Age <2,2001,20,2
Age <2,2001,22F,14
Age <2,2001,23A,1
Age <2,2001,23F,24
Age <2,2001,3,7
Age <2,2001,33F,14
Age <2,2001,35B,2
Age <2,2001,35F,1
Age <2,2001,38,6
Age <2,2001,4,14
Age <2,2001,5,1
Age <2,2001,6A,24
Age <2,2001,6B,50
Age <2,2001,6C,2
Age <2,2001,7F,10
Age <2,2001,8,2
Age <2,2001,9A,3
Age <2,2001,9N,2
Age <2,2001,9V,19
Age <2,2001,MISS,60
Age 2-4,2001,10A,1
Age 2-4,2001,11A,1
Age 2-4,2001,12F,4
Age 2-4,2001,14,43
Age 2-4,2001,15B,1
Age 2-4,2001,15C,3
Age 2-4,2001,18C,32
Age 2-4,2001,19A,11
Age 2-4,2001,19F,37
Age 2-4,2001,22F,4
Age 2-4,2001,23F,18
Age 2-4,2001,24B,1
Age 2-4,2001,3,2
Age 2-4,2001,33F,3
Age 2-4,2001,35F,1
Age 2-4,2001,38,1
Age 2-4,2001,39,1
Age 2-4,2001,4,21
Age 2-4,2001,6A,12
Age 2-4,2001,6B,16
Age 2-4,2001,7F,6
Age 2-4,2001,9A,2
Age 2-4,2001,9N,1
Age 2-4,2001,9V,14
Age 2-4,2001,MISS,37
Age 2-4,2001,NT,2
Age 5-17,2001,1,15
Age 5-17,2001,11A,1
Age 5-17,2001,12F,5
Age 5-17,2001,14,15
Age 5-17,2001,15A,1
Age 5-17,2001,15B,2
Age 5-17,2001,15C,4
Age 5-17,2001,16F,1
Age 5-17,2001,18B,1
Age 5-17,2001,18C,17
Age 5-17,2001,18F,1
Age 5-17,2001,19A,4
Age 5-17,2001,19F,8
Age 5-17,2001,22F,2
Age 5-17,2001,23F,8
Age 5-17,2001,3,9
Age 5-17,2001,31,1
Age 5-17,2001,34,1
Age 5-17,2001,35F,1
Age 5-17,2001,37,1
Age 5-17,2001,4,11
Age 5-17,2001,5,1
Age 5-17,2001,6B,5
Age 5-17,2001,6C,1
Age 5-17,2001,7F,7
Age 5-17,2001,8,3
Age 5-17,2001,9V,8
Age 5-17,2001,MISS,17
Age 5-17,2001,NT,1
Age 18-49,2001,1,12
Age 18-49,2001,10A,9
Age 18-49,2001,11A,26
Age 18-49,2001,12F,88
Age 18-49,2001,13,7
Age 18-49,2001,14,108
Age 18-49,2001,15A,1
Age 18-49,2001,15B,5
Age 18-49,2001,15C,8
Age 18-49,2001,16,1
Age 18-49,2001,16A,1
Age 18-49,2001,16F,20
Age 18-49,2001,17F,6
Age 18-49,2001,18B,2
Age 18-49,2001,18C,41
Age 18-49,2001,18F,1
Age 18-49,2001,19A,28
Age 18-49,2001,19C,1
Age 18-49,2001,19F,31
Age 18-49,2001,20,8
Age 18-49,2001,22F,39
Age 18-49,2001,23A,8
Age 18-49,2001,23B,4
Age 18-49,2001,23F,59
Age 18-49,2001,3,38
Age 18-49,2001,31,7
Age 18-49,2001,33F,10
Age 18-49,2001,34,1
Age 18-49,2001,35B,12
Age 18-49,2001,35F,3
Age 18-49,2001,37,1
Age 18-49,2001,38,7
Age 18-49,2001,4,164
Age 18-49,2001,5,13
Age 18-49,2001,6A,51
Age 18-49,2001,6B,49
Age 18-49,2001,6C,4
Age 18-49,2001,7A,1
Age 18-49,2001,7C,5
Age 18-49,2001,7F,38
Age 18-49,2001,8,23
Age 18-49,2001,9A,5
Age 18-49,2001,9N,20
Age 18-49,2001,9V,80
Age 18-49,2001,MISS,106
Age 18-49,2001,NT,8
Age 50-64,2001,1,5
Age 50-64,2001,10A,5
Age 50-64,2001,11A,8
Age 50-64,2001,12F,36
Age 50-64,2001,13,3
Age 50-64,2001,14,49
Age 50-64,2001,15A,1
Age 50-64,2001,15B,4
Age 50-64,2001,16,1
Age 50-64,2001,16A,1
Age 50-64,2001,16F,12
Age 50-64,2001,17F,2
Age 50-64,2001,18C,29
Age 50-64,2001,18F,1
Age 50-64,2001,19A,20
Age 50-64,2001,19F,21
Age 50-64,2001,20,5
Age 50-64,2001,21,1
Age 50-64,2001,22F,30
Age 50-64,2001,23A,6
Age 50-64,2001,23B,1
Age 50-64,2001,23F,37
Age 50-64,2001,3,47
Age 50-64,2001,31,2
Age 50-64,2001,33F,6
Age 50-64,2001,34,2
Age 50-64,2001,35B,10
Age 50-64,2001,35F,2
Age 50-64,2001,38,3
Age 50-64,2001,4,80
Age 50-64,2001,5,6
Age 50-64,2001,6A,26
Age 50-64,2001,6B,38
Age 50-64,2001,6C,1
Age 50-64,2001,7A,1
Age 50-64,2001,7C,1
Age 50-64,2001,7F,12
Age 50-64,2001,8,4
Age 50-64,2001,9A,2
Age 50-64,2001,9N,13
Age 50-64,2001,9V,60
Age 50-64,2001,MISS,87
Age 50-64,2001,NT,5
Age 65+,2001,1,9
Age 65+,2001,10A,5
Age 65+,2001,11A,32
Age 65+,2001,11B,1
Age 65+,2001,12A,1
Age 65+,2001,12F,29
Age 65+,2001,13,2
Age 65+,2001,14,142
Age 65+,2001,15A,3
Age 65+,2001,15B,5
Age 65+,2001,15C,6
Age 65+,2001,16,1
Age 65+,2001,16F,25
Age 65+,2001,17F,1
Age 65+,2001,18A,1
Age 65+,2001,18C,27
Age 65+,2001,19A,42
Age 65+,2001,19F,44
Age 65+,2001,20,5
Age 65+,2001,22F,64
Age 65+,2001,23A,15
Age 65+,2001,23B,3
Age 65+,2001,23F,93
Age 65+,2001,24F,1
Age 65+,2001,29,1
Age 65+,2001,3,95
Age 65+,2001,31,16
Age 65+,2001,33F,18
Age 65+,2001,34,1
Age 65+,2001,35B,18
Age 65+,2001,35F,9
Age 65+,2001,37,1
Age 65+,2001,38,17
Age 65+,2001,4,89
Age 65+,2001,5,1
Age 65+,2001,6A,54
Age 65+,2001,6B,82
Age 65+,2001,6C,10
Age 65+,2001,7C,2
Age 65+,2001,7F,22
Age 65+,2001,8,8
Age 65+,2001,9A,10
Age 65+,2001,9N,11
Age 65+,2001,9V,75
Age 65+,2001,MISS,120
Age 65+,2001,NT,4
Age <2,2002,1,1
Age <2,2002,10A,4
Age <2,2002,11A,5
Age <2,2002,12F,8
Age <2,2002,14,10
Age <2,2002,15B,6
Age <2,2002,15C,20
Age <2,2002,16F,1
Age <2,2002,17F,1
Age <2,2002,18C,7
Age <2,2002,19A,37
Age <2,2002,19F,19
Age <2,2002,22F,11
Age <2,2002,23F,5
Age <2,2002,24F,1
Age <2,2002,3,8
Age <2,2002,33F,15
Age <2,2002,35B,2
Age <2,2002,35F,1
Age <2,2002,38,12
Age <2,2002,4,5
Age <2,2002,6A,10
Age <2,2002,6B,18
Age <2,2002,7C,3
Age <2,2002,7F,8
Age <2,2002,9V,5
Age <2,2002,MISS,46
Age <2,2002,NT,1
Age 2-4,2002,1,4
Age 2-4,2002,10A,2
Age 2-4,2002,12F,2
Age 2-4,2002,14,12
Age 2-4,2002,15B,1
Age 2-4,2002,15C,9
Age 2-4,2002,16F,1
Age 2-4,2002,18B,2
Age 2-4,2002,18C,18
Age 2-4,2002,18F,1
Age 2-4,2002,19A,18
Age 2-4,2002,19F,12
Age 2-4,2002,22F,4
Age 2-4,2002,23B,1
Age 2-4,2002,23F,7
Age 2-4,2002,3,2
Age 2-4,2002,33F,4
Age 2-4,2002,35F,1
Age 2-4,2002,38,3
Age 2-4,2002,4,12
Age 2-4,2002,6A,3
Age 2-4,2002,6B,17
Age 2-4,2002,7F,6
Age 2-4,2002,9N,1
Age 2-4,2002,9V,5
Age 2-4,2002,MISS,18
Age 2-4,2002,NT,2
Age 5-17,2002,1,5
Age 5-17,2002,10A,1
Age 5-17,2002,11A,2
Age 5-17,2002,12F,5
Age 5-17,2002,13,1
Age 5-17,2002,14,9
Age 5-17,2002,15A,2
Age 5-17,2002,15B,2
Age 5-17,2002,16F,4
Age 5-17,2002,18C,16
Age 5-17,2002,19A,3
Age 5-17,2002,19F,9
Age 5-17,2002,22F,5
Age 5-17,2002,23B,1
Age 5-17,2002,23F,8
Age 5-17,2002,3,5
Age 5-17,2002,31,2
Age 5-17,2002,33F,3
Age 5-17,2002,35B,1
Age 5-17,2002,38,1
Age 5-17,2002,4,10
Age 5-17,2002,5,1
Age 5-17,2002,6A,8
Age 5-17,2002,6B,4
Age 5-17,2002,6C,1
Age 5-17,2002,7F,12
Age 5-17,2002,8,1
Age 5-17,2002,9V,6
Age 5-17,2002,MISS,16
Age 5-17,2002,NT,1
Age 18-49,2002,1,14
Age 18-49,2002,10A,4
Age 18-49,2002,11A,34
Age 18-49,2002,12F,62
Age 18-49,2002,13,5
Age 18-49,2002,14,52
Age 18-49,2002,15A,6
Age 18-49,2002,15B,8
Age 18-49,2002,15C,6
Age 18-49,2002,16,1
Age 18-49,2002,16F,17
Age 18-49,2002,17F,7
Age 18-49,2002,18,1
Age 18-49,2002,18C,25
Age 18-49,2002,18F,1
Age 18-49,2002,19A,51
Age 18-49,2002,19F,22
Age 18-49,2002,2,1
Age 18-49,2002,20,13
Age 18-49,2002,22F,54
Age 18-49,2002,23A,6
Age 18-49,2002,23F,46
Age 18-49,2002,28A,1
Age 18-49,2002,28F,1
Age 18-49,2002,3,51
Age 18-49,2002,31,6
