year,age,serotype,prev,prevlo,prevhi
2013,1-4y,F,0.405678826057304,0.403303723078794,0.405606394803549
2014,1-4y,F,0.432256029359729,0.430346262109024,0.432139148968947
2015,1-4y,F,0.449358393879377,0.447808321884063,0.44925388097056
2016,1-4y,F,0.46065536475064,0.459283188789085,0.460567867668099
2017,1-4y,F,0.468316367098182,0.46710341198736,0.468254584028222
2018,1-4y,F,0.473611209070338,0.472501148882052,0.473533556102005
2019,1-4y,F,0.477396663091027,0.476388711189162,0.477288254287089
2010,5-17y,F,0.11464268975417,0.112470153806687,0.11705815449695
2011,5-17y,F,0.146140585433368,0.144456948313303,0.148090683333908
2012,5-17y,F,0.16847162896717,0.166923238774841,0.170564755754553
2013,5-17y,F,0.184524314898408,0.182892568330507,0.186569124154015
2014,5-17y,F,0.196495878078507,0.19492270954333,0.198525459477542
2015,5-17y,F,0.205553147014865,0.203991392771199,0.207614624510593
2016,5-17y,F,0.212444708815548,0.211005213523266,0.214508174273018
2017,5-17y,F,0.217622464593391,0.216241869500505,0.219690814036739
2018,5-17y,F,0.221509569204328,0.220149065700262,0.223586802290438
2019,5-17y,F,0.224425128854576,0.223142050405844,0.226524216672277
2010,18+y,F,0.0492143217774578,0.0480075248411897,0.0508852993537467
2011,18+y,F,0.0644961211920365,0.0634463811434738,0.0662288680537642
2012,18+y,F,0.0747671376034138,0.0737309833635938,0.0766607020959449
2013,18+y,F,0.081538275230914,0.0805083980436008,0.0835540302834754
2014,18+y,F,0.086236961368796,0.0852047005605725,0.0883718156159526
2015,18+y,F,0.089583659187798,0.0885568709650852,0.0918693984052319
2016,18+y,F,0.0920195995044337,0.0910010555112674,0.0944614217053221
2017,18+y,F,0.0938313023424407,0.0928377529682222,0.096317015430831
2018,18+y,F,0.0951853834583661,0.0941939841847095,0.0977106433733008
2019,18+y,F,0.0961976333460723,0.0952062210788886,0.0987786424470007
2010,<1y,N,0.61883263308582,0.62086363338331,0.615731741065584
2011,<1y,N,0.607752683188462,0.609529672503711,0.604635311942143
2012,<1y,N,0.605549105221605,0.607633303209735,0.602645933380591
2013,<1y,N,0.605904458576581,0.60792204416386,0.602774134880725
2014,<1y,N,0.606676252529227,0.608758914827628,0.603572057468028
2015,<1y,N,0.607423807374559,0.609549632763306,0.604387470240406
2016,<1y,N,0.608170803442533,0.610332942953756,0.605168313954533
2017,<1y,N,0.608910666928407,0.611185776610315,0.605907076416113
2018,<1y,N,0.609561559706501,0.611899129562736,0.606566460918872
2019,<1y,N,0.610136667367946,0.612559064215179,0.607102455897045
2010,1-4y,N,0.470078193971536,0.470797084652137,0.467628117594197
2011,1-4y,N,0.464093564822663,0.464283655633315,0.462122745891794
2012,1-4y,N,0.461621538233194,0.461517030623965,0.460043699736173
2013,1-4y,N,0.461006458645228,0.461046240393073,0.459631180138972
2014,1-4y,N,0.46120351563571,0.461280828439084,0.459941915103397
2015,1-4y,N,0.461848519617464,0.46197541291736,0.460621770961228
2016,1-4y,N,0.462637644036004,0.462790104865986,0.461499321832819
2017,1-4y,N,0.463464617994003,0.463674659153913,0.462354275453468
2018,1-4y,N,0.464271470956696,0.464590715740166,0.46318488344948
2019,1-4y,N,0.465043544502484,0.465455221158258,0.463964800164396
2010,5-17y,N,0.214915001643477,0.214738763057429,0.216237808474978
2011,5-17y,N,0.21573036534801,0.215384530236217,0.21702086549483
2012,5-17y,N,0.217745425270791,0.217169329715728,0.219046151398934
2013,5-17y,N,0.21927609968454,0.218622102659679,0.220714550096357
2014,5-17y,N,0.220157233018123,0.219483953357771,0.221755029268759
2015,5-17y,N,0.2206023273432,0.219829716265854,0.222329331970213
2016,5-17y,N,0.220827849372764,0.219933855328191,0.222673239916282
2017,5-17y,N,0.220923633546895,0.219919256693576,0.222837446501343
2018,5-17y,N,0.220943216050137,0.219897117235859,0.222933336082307
2019,5-17y,N,0.220936006052917,0.219822595236266,0.223013659168121
2010,18+y,N,0.0919444097120282,0.0913632887365019,0.0933834246502052
2011,18+y,N,0.0917368044733575,0.0909790072179015,0.0932842324689467
2012,18+y,N,0.092292253309214,0.0914096180301074,0.0939016622801948
2013,18+y,N,0.0928648275734331,0.091872984434552,0.0945078246003733
2014,18+y,N,0.0932980085728444,0.0922006889918333,0.0950939073004487
2015,18+y,N,0.0935851134653335,0.092374249777338,0.095445235552599
2016,18+y,N,0.0938048427911809,0.0925142872150401,0.0956876108092845
2017,18+y,N,0.0939545535694478,0.0926360499428862,0.0959758466102277
2018,18+y,N,0.0940733580825058,0.0926892881040501,0.0961492794468894
2019,18+y,N,0.094168442687407,0.0927294111110072,0.0962897752855686
